# este archivo son los resultado de los trials del modelo B de optuna 

number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_n_estimators,params_scale_pos_weight,params_subsample,state
206,0.5525402372860819,2026-07-23 20:41:33.067226,2026-07-23 20:41:34.638060,0 days 00:00:01.570834,0.7999536881647115,0.017515959402592898,7,319,3.0614432794379947,0.6211677024152628,COMPLETE
207,0.5524030887953562,2026-07-23 20:41:34.638823,2026-07-23 20:41:36.339554,0 days 00:00:01.700731,0.793152916643324,0.015576453981967888,7,337,3.12463364915724,0.637938160597274,COMPLETE
208,0.5449615445424538,2026-07-23 20:41:36.340477,2026-07-23 20:41:37.829748,0 days 00:00:01.489271,0.7863913946155306,0.013827413307929793,7,296,3.11915739682436,0.6300689209882061,COMPLETE
209,0.5538005607633668,2026-07-23 20:41:37.830616,2026-07-23 20:41:39.406271,0 days 00:00:01.575655,0.7720438318180379,0.01625063970080869,7,301,3.3475691388443383,0.6468104717018398,COMPLETE
210,0.47561634086721316,2026-07-23 20:41:39.407102,2026-07-23 20:41:41.001613,0 days 00:00:01.594511,0.7799476381036893,0.014885053090069574,7,311,2.2847022941231456,0.6419973486081225,COMPLETE
211,0.5538186638571195,2026-07-23 20:41:41.002516,2026-07-23 20:41:42.396706,0 days 00:00:01.394190,0.8058102985925497,0.018268738579795055,7,287,3.233351900812429,0.655155375448454,COMPLETE
212,0.5538343389594426,2026-07-23 20:41:42.397547,2026-07-23 20:41:43.943285,0 days 00:00:01.545738,0.8114512071584482,0.01752774470342114,7,394,3.2919404398158525,0.6486230974068535,COMPLETE
213,0.5531905784511091,2026-07-23 20:41:43.944003,2026-07-23 20:41:45.226549,0 days 00:00:01.282546,0.7978001665635781,0.01874187150915997,7,414,3.226714610502522,0.641106861182158,COMPLETE
214,0.5535794462742746,2026-07-23 20:41:45.227267,2026-07-23 20:41:46.726981,0 days 00:00:01.499714,0.7896624632691107,0.016749661318949335,7,272,3.3096914381841716,0.660512077902723,COMPLETE
215,0.5507279129208446,2026-07-23 20:41:46.727756,2026-07-23 20:41:48.061928,0 days 00:00:01.334172,0.802248143304985,0.01791341221946903,7,262,3.153274209042141,0.6275731139023171,COMPLETE
216,0.5487919352642302,2026-07-23 20:41:48.062663,2026-07-23 20:41:49.330730,0 days 00:00:01.268067,0.8170000497799805,0.015908937459507992,7,283,3.3768598863822494,0.6154821122831909,COMPLETE
